Reporting Year,Bank,RFP Source,Data Description,Office Address,ZIP Code,Census Tract,Location
2021,"PNC Bank, National Association",Form G,Depository Locations,"3556 N ASHLAND AVE CHICAGO, IL 60657",,17031831900,POINT (-87.66885 41.94678)
2022,U.S. Bank,Form G,Depository Location,3300 Dempster St,,8071.00,POINT (-87.71162 42.04138)
2022,Fifth Third Bank N.A,Form G,Depository Location,3604 N Southport Ave,,17031060400,POINT (-87.66404 41.94738)
2022,U.S. Bank,Form G,Depository Location,9575 W Higgins Rd,,7707.00,POINT (-87.86541 41.99248)
2022,U.S. Bank,Form G,Depository Location,2253 N Richmond Rd,,8706.04,POINT (-88.2673 42.35965)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,935 W Armitage Ave,,170318326.00,POINT (-87.65236 41.91811)
2021,Citibank N.A.,Form G,Depository Locations,500 W MADISON ST CHICAGO IL 60661,,2801,POINT (-87.64046 41.88186)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,2310 W 95th St,,170317201.00,POINT (-87.68022 41.72167)
2022,Citibank N.A.,Form G,Depository Location,8650 S STONY ISLAND AVE,,17031834300,POINT (-87.58593 41.73712)
2021,"PNC Bank, National Association",Form G,Depository Locations,"3337 W NORTH AVE CHICAGO, IL 60647",,17031230900,POINT (-87.71095 41.91006)
2022,PNC Bank,Form G,Depository Location,"8700 S COTTAGE GROVE AVE CHICAGO, IL 60619",,17031440700,POINT (-87.6054 41.73651)
2021,"Bank of America, National Association",Form G,Depository Locations,"3425 W 26th St., Chicago, IL 60623",,17031301600,POINT (-87.71078 41.84446)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1791 W Howard St,,170310102.02,POINT (-87.67585 42.0194)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2317 W Madison St,60612,,POINT (-87.68431 41.8812)
2022,U.S. Bank,Form G,Depository Location,136 S Washington St,,8461.03,POINT (-87.63197 41.88325)
2022,Associated Bank,Form G,Depository Location,5200 N Central Ave Chicago 60630,,1102,POINT (-87.76906 41.97605)
2021,Huntington National Bank,Form G,Depository Locations,"2130 W North Ave, Chicago, IL, 60647",,17031240500,POINT (-87.68113 41.9104)
2022,PNC Bank,Form G,Depository Location,"1 N FRANKLIN ST CHICAGO, IL 60606",,17031839100,POINT (-87.63533 41.88226)
2022,Huntington,Form G,Depository Location,"4042 W Foster Ave, Chicago, IL, 60630",,17031130200,POINT (-87.72986 41.97553)
2022,Fifth Third Bank N.A,Form G,Depository Location,3957 West 26th Street,,17031301701,POINT (-87.72425 41.84428)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,244 South Franklin,,17031839100,POINT (-87.63521 41.87882)
2021,"Bank of America, National Association",Form G,Depository Locations,"3350 W Diversey Ave., Chicago, IL 60647",,17031210602,POINT (-87.71173 41.93224)
2022,U.S. Bank,Form G,Depository Location,104 N Oak Park Ave,,8123.01,POINT (-87.79448 41.88763)
2021,"Bank of America, National Association",Form G,Depository Locations,"1212 S Ashland Ave., Chicago, IL 60608",,17031842900,POINT (-87.66641 41.86647)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,4809 S Ashland Ave,60609-4234,,POINT (-87.66491 41.80644)
2022,U.S. Bank,Form G,Depository Location,1586 N Rand Rd,,8036.05,POINT (-88.0211 42.13785)
2021,Citibank N.A.,Form G,Depository Locations,2295 N MILWAUKEE AVE CHICAGO IL 60647,,2214,POINT (-87.69719 41.9228)
2021,BMO Harris Bank National Association,Form G,Depository Locations,743 N Pulaski Rd,,17031231500,POINT (-87.7257 41.895)
2022,Associated Bank,Form G,Depository Location,200 E Randolph St,,3201.01,POINT (-87.62214 41.88451)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1554 W North Ave,,17031842300,POINT (-87.66727 41.91089)
2022,PNC Bank,Form G,Depository Location,"6511 N SHERIDAN RD CHICAGO, IL 60626",,17031010400,POINT (-87.66074 42.00102)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,2504 West Cermak,,17031840700,POINT (-87.68833 41.852)
2022,Citibank N.A.,Form G,Depository Location,3535 N CENTRAL AVE,,17031151100,POINT (-87.76673 41.94518)
2022,Fifth Third Bank N.A,Form G,Depository Location,244 S Franklin Street,,17031839100,POINT (-87.63521 41.87882)
2021,"PNC Bank, National Association",Form G,Depository Locations,"100 W RANDOLPH ST CHICAGO, IL 60601",,17031839100,POINT (-87.63138 41.88447)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,238 N State St,60601,,POINT (-87.62807 41.88646)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3335 N Ashland Ave,,170310624.00,POINT (-87.66876 41.94258)
2021,"Bank of America, National Association",Form G,Depository Locations,"7131 S Stony Island Ave., Chicago, IL 60649",,17031430500,POINT (-87.58591 41.76531)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2235 N Milwaukee Ave,60647-4035,,POINT (-87.69541 41.92171)
2021,BMO Harris Bank National Association,Form G,Depository Locations,1300 South Wabash Ave,,17031330100,POINT (-87.62577 41.86559)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,2639 N Milwaukee Ave,,170312206.02,POINT (-87.70847 41.92971)
2022,Fifth Third Bank N.A,Form G,Depository Location,7150 Mannheim Road,,17031770602,POINT (-87.88573 42.00932)
2022,Citibank N.A.,Form G,Depository Location,2555 N CLARK ST,,17031070102,
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,3101 W Cermak Rd,60623-3449,,POINT (-87.70303 41.85179)
