"Address","Date.of.Acquisition","Latitude","Longitude"
"6805 S PEORIA ST","04/23/1987",41.7703791,-87.6466272
"105 N PINE AVE","11/12/2019",41.8825617,-87.7627936
"111 N PINE AVE","02/03/2020",41.8826961,-87.7627983
"111 N PINE AVE","02/03/2020",41.8826961,-87.7627983
"101 N PINE AVE","02/03/2020",41.8824283,-87.7627889
"111 N PINE AVE","02/03/2020",41.8826961,-87.7627983
"111 N PINE AVE","02/03/2020",41.8826961,-87.7627983
"111 N PINE AVE","02/03/2020",41.8826961,-87.7627983
"105 N PINE AVE","11/12/2019",41.8825617,-87.7627936
"105 N PINE AVE","11/12/2019",41.8825617,-87.7627936
"1338 W 61ST ST","04/19/2002",41.7834304,-87.6585957
"101 N PINE AVE","02/03/2020",41.8824283,-87.7627889
"5610 S LAFLIN ST","04/20/1982",41.7917716,-87.6624479
"105 N PINE AVE","11/12/2019",41.8825617,-87.7627936
"5600 S PEORIA ST","09/10/1985",41.7922925,-87.6478839
"5524 S THROOP ST","09/17/1987",41.7929755,-87.657629
"5523 S ABERDEEN ST","04/22/2004",41.793132,-87.652076
"5520 S MAY ST","05/26/1978",41.793104,-87.653987
"12645 S EXCHANGE AVE","05/21/2001",NA,NA
"131 N PINE AVE","03/21/2021",41.8832312,-87.7630156
"116 N LOTUS AVE","12/17/2019",41.882864,-87.7621712
"100 N LOTUS AVE","03/18/2021",41.8824197,-87.7619929
"125 N PINE AVE","10/08/2019",41.8831033,-87.7625233
"116 N LOTUS AVE","12/17/2019",41.882864,-87.7621712
"339 W 60TH PL","01/25/2005",41.7842152,-87.6342429
"5525 S BISHOP ST","03/22/1991",41.7928673,-87.6605709
"6108 S NORMAL AVE","11/23/1981",41.7831874,-87.6378687
"338 W 61ST ST","03/22/1991",41.7838273,-87.6342341
"513 W 61ST ST","11/09/1989",41.7832405,-87.6381437
"333 W 60TH PL","01/25/2005",41.7842183,-87.6340459
"100 N LOTUS AVE","03/25/2020",41.8824221,-87.7618339
"6110 S NORMAL AVE","01/20/1982",41.7831119,-87.6378669
"410 W 62ND ST","12/02/1974",41.781915,-87.6355885
"340 W 61ST ST","01/25/2005",41.7838474,-87.6343483
"5544 S BISHOP ST","02/03/1995",41.7923792,-87.6612569
"517 W 62ND ST","02/05/1993",41.7814526,-87.6383061
"355 W 60TH PL","01/25/2005",41.7842237,-87.6348311
"324 W 61ST ST","02/28/1978",41.7838566,-87.6337985
"5922 S PRINCETON AVE","01/12/1995",41.7865134,-87.6330903
"502 W 61ST PL","09/10/2001",41.7828738,-87.6377685
"349 W 60TH PL","07/30/1992",41.7842087,-87.6346489
"6110 S STEWART AVE","02/16/1977",41.7831456,-87.6355043
"5531 S JUSTINE ST","10/03/1995",41.7927695,-87.66298
"6123 S STEWART AVE","04/25/2005",41.782829,-87.6348639
"5927 S PRINCETON AVE","11/09/1987",41.7863707,-87.6326314
"524 W 61ST PL","08/23/1977",41.7828594,-87.6385249
"5537 S JUSTINE ST","03/02/2006",41.7925637,-87.662976
"315 W 60TH PL","04/22/2004",41.7842288,-87.633387
"6029 S LASALLE ST","03/31/1995",41.7846206,-87.628662
"5942 S LASALLE ST","08/22/1997",41.7860127,-87.6294191
"520 W 61ST PL","04/12/1976",41.7828621,-87.638387
"427 W 61ST ST","06/14/1984",41.7832729,-87.6362749
"5524 S BISHOP ST","02/20/2012",41.7929281,-87.6612706
"5945 S PRINCETON AVE","09/19/2002",41.7858972,-87.6324186
"5526 S LAFLIN ST","12/21/1984",41.7928443,-87.6624755
"6114 S STEWART AVE","01/23/2006",41.7830502,-87.6355018
"6104 S STEWART AVE","05/26/1977",41.7832523,-87.6355072
"327 W 59TH PL","02/05/2003",41.7860421,-87.6339002
"335 W 60TH PL","10/14/1998",41.7842168,-87.6341375
"328 W 61ST ST","10/08/2002",41.7838551,-87.6338902
"5540 S JUSTINE ST","11/27/2012",41.7924865,-87.6636696
"6031 S LASALLE ST","06/10/2013",41.7845218,-87.6286592
"328 W 60TH PL","08/18/1999",41.784745,-87.6339187
"426 W 62ND ST","09/21/2004",41.7820092,-87.6362282
"423 W 60TH PL","01/18/2006",41.7841617,-87.636141
"622 W 61ST PL","01/23/2006",41.7828104,-87.6409827
"627 W 61ST ST","03/09/1993",41.783189,-87.6411056
"626 W 61ST PL","12/11/1986",41.7828082,-87.641096
"7021 S VERNON AVE","09/30/2022",41.7668962,-87.6137324
"9512 S LAFAYETTE AVE","10/17/2022",41.7211939,-87.625372
"5223 W FERDINAND ST","09/20/2022",41.8886353,-87.7563293
"2956 E 127TH ST","02/08/2001",41.6648835,-87.5509965
"8643 S YATES BLVD","",41.7375895,-87.5656722
"201 E 116TH ST","06/03/2002",41.6823152,-87.6177546
"3034 E 127TH ST","",41.6647312,-87.5496116
"8641 S YATES BLVD","",41.7376581,-87.5656732
"12637 S COMMERCIAL AVE","05/31/2002",41.6653327,-87.5504218
"3058 E 127TH ST","",41.6647312,-87.5496116
"3040 W FIFTH AVE","03/24/1982",41.8794622,-87.7027828
"3032 W FIFTH AVE","03/21/2001",41.8795747,-87.7024568
"3026 W FIFTH AVE","07/30/1979",41.8796204,-87.7022917
"3024 W FIFTH AVE","12/05/1979",41.8796634,-87.7021884
"3036 W FIFTH AVE","05/25/1978",41.879529,-87.7026219
"10730 S LOOMIS ST","07/18/2006",41.6984834,-87.6573459
"2012 S CANALPORT AVE","",41.8554997,-87.6453326
"6415 S STEWART AVE","",41.7775941,-87.6348392
"12614 S MANISTEE AVE","",41.6659852,-87.5557791
"4103 W WILCOX ST","",41.8785798,-87.7282637
"892 N SACRAMENTO AVE","03/19/1991",NA,NA
"4800 W WEST END AVE","02/29/2000",41.8829587,-87.7501259
"105 W 110TH PL","02/18/1986",NA,NA
"819 W 53RD PL","",41.7966637,-87.646106
"3551 W LEXINGTON ST","",41.8714993,-87.7151513
"8424 S BUFFALO AVE","",41.7421222,-87.5445585
"6753 S JUSTINE ST","",41.7706749,-87.6624174
"10717 S EDBROOKE AVE","09/27/1990",41.6993756,-87.6193164
"7049 S PARNELL AVE","07/31/1979",NA,NA
"11312 S MORGAN ST","",41.6881949,-87.6474641
"7317 S DANTE AVE","",41.7618401,-87.5893163
"5337 S DAMEN AVE","",41.7965197,-87.6739814
"7331 S HARVARD AVE","",41.7607587,-87.6329832
"7336 S PRINCETON AVE","",41.7606297,-87.6324561
"3010 E 127TH ST","",41.6648792,-87.5502097
"8830 S MORGAN ST","09/30/1997",41.7331948,-87.6487678
"464 W 102ND PL","",41.7080486,-87.635477
"6717 S SANGAMON ST","",41.7718779,-87.6478759
"856 W 52ND ST","",41.8000029,-87.6475766
"5407 S HOYNE AVE","",41.7954313,-87.6764318
"11939 S LOWE AVE","",41.67671,-87.6379151
"854 W 52ND ST","",41.8000041,-87.6474885
"9528 S PERRY AVE","",41.7207653,-87.6265669
"11312 S HOMEWOOD AVE","05/16/2002",41.6873977,-87.6706746
"3652 W LEXINGTON ST","",41.8719788,-87.7176238
"2445 E 74TH ST","04/18/2008",41.7605518,-87.5646333
"5426 W POTOMAC AVE","09/21/2017",41.90425,-87.7621432
"2954 E 127TH ST","",41.6647522,-87.5515794
